timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID (pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732181314281,1,0,8,7,6,5,4,3,2,1
1732181314381,1,0,8,7,6,5,4,3,2,1
1732181314481,1,0,8,7,6,5,4,3,2,1
1732181314581,1,0,8,7,6,5,4,3,2,1
1732181314681,1,0,8,7,6,5,4,3,2,1
1732181314781,1,0,8,7,6,5,4,3,2,1
1732181314881,1,0,8,7,6,5,4,3,2,1
1732181314981,1,0,8,7,6,5,4,3,2,1
1732181315081,1,0,8,7,6,5,4,3,2,1
1732181315181,1,0,8,7,6,5,4,3,2,1
1732181315281,1,0,8,7,6,5,4,3,2,1
1732181315381,1,0,8,7,6,5,4,3,2,1
1732181315481,1,0,8,7,6,5,4,3,2,1
1732181315581,1,0,8,7,6,5,4,3,2,1
1732181315681,1,0,8,7,6,5,4,3,2,1
1732181315781,1,0,8,7,6,5,4,3,2,1
1732181315881,1,0,8,7,6,5,4,3,2,1
1732181315981,1,0,8,7,6,5,4,3,2,1
1732181316081,1,0,8,7,6,5,4,3,2,1
1732181316181,1,0,8,7,6,5,4,3,2,1
1732181316281,1,0,8,7,6,5,4,3,2,1
1732181316381,1,0,8,7,6,5,4,3,2,1
1732181316481,1,0,8,7,6,5,4,3,2,1
1732181316581,1,0,8,7,6,5,4,3,2,1
1732181316681,1,0,8,7,6,5,4,3,2,1
1732181316781,1,0,8,7,6,5,4,3,2,1
1732181316881,1,0,8,7,6,5,4,3,2,1
1732181316981,1,0,8,7,6,5,4,3,2,1
1732181317081,1,0,8,7,6,5,4,3,2,1
1732181317181,1,0,8,7,6,5,4,3,2,1
1732181317281,1,0,8,7,6,5,4,3,2,1
1732181317381,1,0,8,7,6,5,4,3,2,1
1732181317481,1,0,8,7,6,5,4,3,2,1
1732181317581,1,0,8,7,6,5,4,3,2,1
1732181317681,1,0,8,7,6,5,4,3,2,1
1732181317781,1,0,8,7,6,5,4,3,2,1
1732181317881,1,0,8,7,6,5,4,3,2,1
1732181317981,1,0,8,7,6,5,4,3,2,1
1732181318081,1,0,8,7,6,5,4,3,2,1
1732181318181,1,0,8,7,6,5,4,3,2,1
1732181318281,1,0,8,7,6,5,4,3,2,1
1732181318381,1,0,8,7,6,5,4,3,2,1
1732181318481,1,0,8,7,6,5,4,3,2,1
1732181318581,1,0,8,7,6,5,4,3,2,1
1732181318681,1,0,8,7,6,5,4,3,2,1
1732181318781,1,0,8,7,6,5,4,3,2,1
1732181318881,1,0,8,7,6,5,4,3,2,1
1732181318981,1,0,8,7,6,5,4,3,2,1
1732181319081,1,0,8,7,6,5,4,3,2,1
1732181319181,1,0,8,7,6,5,4,3,2,1
1732181319281,1,0,8,7,6,5,4,3,2,1
1732181319381,1,0,8,7,6,5,4,3,2,1
1732181319481,1,0,8,7,6,5,4,3,2,1
1732181319581,1,0,8,7,6,5,4,3,2,1
1732181319681,1,0,8,7,6,5,4,3,2,1
1732181319781,1,0,8,7,6,5,4,3,2,1
1732181319881,1,0,8,7,6,5,4,3,2,1
1732181319981,1,0,8,7,6,5,4,3,2,1
1732181320081,1,0,8,7,6,5,4,3,2,1
1732181320181,1,0,8,7,6,5,4,3,2,1
1732181320281,1,0,8,7,6,5,4,3,2,1
1732181320381,1,0,8,7,6,5,4,3,2,1
1732181320481,1,0,8,7,6,5,4,3,2,1
1732181320581,1,0,8,7,6,5,4,3,2,1
1732181320681,1,0,8,7,6,5,4,3,2,1
1732181320781,1,0,8,7,6,5,4,3,2,1
1732181320881,1,0,8,7,6,5,4,3,2,1
1732181320981,1,0,8,7,6,5,4,3,2,1
1732181321081,1,0,8,7,6,5,4,3,2,1
1732181321181,1,0,8,7,6,5,4,3,2,1
1732181321281,1,0,8,7,6,5,4,3,2,1
1732181321381,1,0,8,7,6,5,4,3,2,1
1732181321481,1,0,8,7,6,5,4,3,2,1
1732181321581,1,0,8,7,6,5,4,3,2,1
1732181321681,1,0,8,7,6,5,4,3,2,1
1732181321781,1,0,8,7,6,5,4,3,2,1
1732181321881,1,0,8,7,6,5,4,3,2,1
1732181321981,1,0,8,7,6,5,4,3,2,1
1732181322081,1,0,8,7,6,5,4,3,2,1
1732181322181,1,0,8,7,6,5,4,3,2,1
1732181322281,1,0,8,7,6,5,4,3,2,1
1732181322381,1,0,8,7,6,5,4,3,2,1
1732181322481,1,0,8,7,6,5,4,3,2,1
1732181322581,1,0,8,7,6,5,4,3,2,1
1732181322681,1,0,8,7,6,5,4,3,2,1
1732181322781,1,0,8,7,6,5,4,3,2,1
1732181322881,1,0,8,7,6,5,4,3,2,1
1732181322981,1,0,8,7,6,5,4,3,2,1
1732181323081,1,0,8,7,6,5,4,3,2,1
1732181323181,1,0,8,7,6,5,4,3,2,1
1732181323281,1,0,8,7,6,5,4,3,2,1
1732181323381,1,0,8,7,6,5,4,3,2,1
1732181323481,1,0,8,7,6,5,4,3,2,1
1732181323581,1,0,8,7,6,5,4,3,2,1
1732181323681,1,0,8,7,6,5,4,3,2,1
1732181323781,1,0,8,7,6,5,4,3,2,1
1732181323881,1,0,8,7,6,5,4,3,2,1
1732181323981,1,0,8,7,6,5,4,3,2,1
1732181324081,1,0,8,7,6,5,4,3,2,1
1732181324181,1,0,8,7,6,5,4,3,2,1
1732181324281,1,0,8,7,6,5,4,3,2,1
1732181324381,1,0,8,7,6,5,4,3,2,1
1732181324481,1,0,8,7,6,5,4,3,2,1
1732181324581,1,0,8,7,6,5,4,3,2,1
1732181324681,1,0,8,7,6,5,4,3,2,1
1732181324781,1,0,8,7,6,5,4,3,2,1
1732181324881,1,0,8,7,6,5,4,3,2,1
1732181324981,1,0,8,7,6,5,4,3,2,1
1732181325081,1,0,8,7,6,5,4,3,2,1
1732181325181,1,0,8,7,6,5,4,3,2,1
1732181325281,1,0,8,7,6,5,4,3,2,1
1732181325381,1,0,8,7,6,5,4,3,2,1
1732181325481,1,0,8,7,6,5,4,3,2,1
1732181325581,1,0,8,7,6,5,4,3,2,1
1732181325681,1,0,8,7,6,5,4,3,2,1
1732181325781,1,0,8,7,6,5,4,3,2,1
1732181325881,1,0,8,7,6,5,4,3,2,1
1732181325981,1,0,8,7,6,5,4,3,2,1
1732181326081,1,0,8,7,6,5,4,3,2,1
1732181326181,1,0,8,7,6,5,4,3,2,1
1732181326281,1,0,8,7,6,5,4,3,2,1
1732181326381,1,0,8,7,6,5,4,3,2,1
1732181326481,1,0,8,7,6,5,4,3,2,1
1732181326581,1,0,8,7,6,5,4,3,2,1
1732181326681,1,0,8,7,6,5,4,3,2,1
1732181326781,1,0,8,7,6,5,4,3,2,1
1732181326881,1,0,8,7,6,5,4,3,2,1
1732181326981,1,0,8,7,6,5,4,3,2,1
1732181327081,1,0,8,7,6,5,4,3,2,1
1732181327181,1,0,8,7,6,5,4,3,2,1
1732181327281,1,0,8,7,6,5,4,3,2,1
1732181327381,1,0,8,7,6,5,4,3,2,1
1732181327481,1,0,8,7,6,5,4,3,2,1
1732181327581,1,0,8,7,6,5,4,3,2,1
1732181327681,1,0,8,7,6,5,4,3,2,1
1732181327781,1,0,8,7,6,5,4,3,2,1
1732181327881,1,0,8,7,6,5,4,3,2,1
1732181327981,1,0,8,7,6,5,4,3,2,1
1732181328081,1,0,8,7,6,5,4,3,2,1
1732181328181,1,0,8,7,6,5,4,3,2,1
1732181328281,1,0,8,7,6,5,4,3,2,1
1732181328381,1,0,8,7,6,5,4,3,2,1
1732181328481,1,0,8,7,6,5,4,3,2,1
1732181328581,1,0,8,7,6,5,4,3,2,1
1732181328681,1,0,8,7,6,5,4,3,2,1
1732181328781,1,0,8,7,6,5,4,3,2,1
1732181328881,1,0,8,7,6,5,4,3,2,1
1732181328981,1,0,8,7,6,5,4,3,2,1
1732181329081,1,0,8,7,6,5,4,3,2,1
1732181329181,1,0,8,7,6,5,4,3,2,1
1732181329281,1,0,8,7,6,5,4,3,2,1
1732181329381,1,0,8,7,6,5,4,3,2,1
1732181329481,1,0,8,7,6,5,4,3,2,1
1732181329581,1,0,8,7,6,5,4,3,2,1
1732181329681,1,0,8,7,6,5,4,3,2,1
1732181329781,1,0,8,7,6,5,4,3,2,1
1732181329881,1,0,8,7,6,5,4,3,2,1
1732181329981,1,0,8,7,6,5,4,3,2,1
1732181330081,1,0,8,7,6,5,4,3,2,1
1732181330181,1,0,8,7,6,5,4,3,2,1
1732181330281,1,0,8,7,6,5,4,3,2,1
1732181330381,1,0,8,7,6,5,4,3,2,1
1732181330481,1,0,8,7,6,5,4,3,2,1
1732181330581,1,0,8,7,6,5,4,3,2,1
1732181330681,1,0,8,7,6,5,4,3,2,1
1732181330781,1,0,8,7,6,5,4,3,2,1
1732181330881,1,0,8,7,6,5,4,3,2,1
1732181330981,1,0,8,7,6,5,4,3,2,1
1732181331081,1,0,8,7,6,5,4,3,2,1
1732181331181,1,0,8,7,6,5,4,3,2,1
