timestemp, imsi, cellID, x, y, label_x, label_y, accuracy (1-MSE)
1732181314122.0,2,3,350.9866,328.27414,320.0,324.0,31.279990491938793
1732181314222.0,2,3,328.7473,281.14066,320.0,324.0,43.74287330347367
1732181314281.0,1,5,15.985161,86.76524,55.0,26.0,72.21199530289272
1732181314322.0,2,3,320.0443,82.602036,320.0,324.0,241.39797113635814
1732181314381.0,1,5,71.72889,3.9873886,55.0,26.0,27.647979430720838
1732181314422.0,2,3,350.0676,54.775154,320.0,324.0,270.89866359489486
1732181314481.0,1,5,71.994705,8.847313,55.0,26.0,24.14611082490822
1732181314522.0,2,3,318.02063,140.05502,320.0,324.0,183.95562474412137
1732181314581.0,1,5,74.974014,5.5697937,55.0,26.0,28.571920030999184
1732181314622.0,2,3,356.24866,104.13952,320.0,324.0,222.8286196833791
1732181314681.0,1,5,51.144882,18.688759,55.0,26.0,8.265360087023678
1732181314722.0,2,3,290.99023,274.52872,320.0,324.0,57.34958246905552
1732181314781.0,1,5,22.085917,37.01634,55.0,26.0,34.708742088179314
1732181314822.0,2,3,361.88666,70.525665,320.0,324.0,256.91190428335545
1732181314881.0,1,5,13.250027,34.95375,55.0,26.0,42.69929718940055
1732181314922.0,2,3,381.44946,41.51546,320.0,324.0,289.09089725378766
1732181314981.0,1,5,87.4052,3.7725105,55.0,26.0,39.295776885750556
1732181315022.0,2,3,314.88177,221.25827,320.0,324.0,102.86913808481386
1732181315081.0,1,5,30.221197,40.93449,55.0,26.0,28.931437506143297
1732181315122.0,2,3,364.63635,296.0128,320.0,324.0,52.6847984553538
1732181315181.0,1,5,60.88031,18.290611,55.0,26.0,9.696015583768602
1732181315222.0,2,3,394.6513,40.28158,320.0,324.0,293.37511983380597
1732181315281.0,1,5,44.327003,78.64339,55.0,26.0,53.71442090976943
1732181315322.0,2,3,379.39487,45.78733,320.0,324.0,284.48206775647566
1732181315381.0,1,5,44.433956,48.00326,55.0,26.0,24.40870316176307
1732181315422.0,2,3,301.26837,69.05927,320.0,324.0,255.62795688998887
1732181315481.0,1,5,52.453213,43.803844,55.0,26.0,17.985076651983842
1732181315522.0,2,3,312.33694,346.8915,320.0,324.0,24.14008393406597
1732181315581.0,1,5,30.992823,92.17552,55.0,26.0,70.395627943742
1732181315622.0,2,3,346.64923,301.55255,320.0,324.0,34.84349950862876
1732181315681.0,1,5,42.96243,23.591673,55.0,26.0,12.276121354791917
1732181315722.0,2,3,337.47864,255.01099,320.0,324.0,71.16872077258554
1732181315781.0,1,5,35.186157,26.175459,55.0,26.0,19.814620136217048
1732181315822.0,2,3,296.75964,281.06628,320.0,324.0,48.82026436727504
1732181315881.0,1,5,36.15211,82.159615,55.0,26.0,59.23803899245716
1732181315922.0,2,3,292.65,336.42175,320.0,324.0,30.038687619572364
1732181315981.0,1,5,76.13774,8.548256,55.0,26.0,27.411083391135442
1732181316022.0,2,3,318.05478,237.7352,320.0,324.0,86.28672791375566
1732181316081.0,1,5,53.281197,50.385143,55.0,26.0,24.445643324303465
1732181316122.0,2,3,370.07925,43.84359,320.0,324.0,284.5971522389147
1732181316181.0,1,5,41.698376,41.100346,55.0,26.0,20.123460035461797
1732181316222.0,2,3,331.2432,254.95328,320.0,324.0,69.95612464252147
1732181316281.0,1,5,70.66312,8.026604,55.0,26.0,23.84064220408345
1732181316322.0,2,3,370.8862,50.36041,320.0,324.0,278.33079464910094
1732181316381.0,1,5,33.445602,74.774734,55.0,26.0,53.325103379089896
1732181316422.0,2,3,375.02234,27.951654,320.0,324.0,301.1180468271538
1732181316481.0,1,5,81.27266,1.7564354,55.0,26.0,35.74916854638458
1732181316522.0,2,3,333.4861,261.5271,320.0,324.0,63.91195917346475
1732181316581.0,1,5,24.658237,95.96336,55.0,26.0,76.25939043099054
1732181316622.0,2,3,288.83786,92.61093,320.0,324.0,233.4780085334591
1732181316681.0,1,5,43.932407,49.454906,55.0,26.0,25.93500082086224
1732181316722.0,2,3,368.97766,30.351286,320.0,324.0,297.70518134557216
1732181316781.0,1,5,54.12733,107.58024,55.0,26.0,81.58490772176401
1732181316822.0,2,3,222.11053,225.51575,320.0,324.0,138.8578269084966
1732181316881.0,1,5,43.932922,91.44806,55.0,26.0,66.37716642533222
1732181316922.0,2,3,362.70203,60.243225,320.0,324.0,267.1911183965515
1732181316981.0,1,5,58.85691,40.059002,55.0,26.0,14.578453133867365
1732181317022.0,2,3,358.79837,45.719795,320.0,324.0,280.9718624702481
1732181317081.0,1,5,69.38617,11.194176,55.0,26.0,20.643989837389718
1732181317122.0,2,3,298.2221,350.94318,320.0,324.0,34.6440676852654
1732181317181.0,1,5,56.128754,23.072159,55.0,26.0,3.1378877012680113
1732181317222.0,2,3,352.4269,72.99159,320.0,324.0,253.0942959773096
1732181317281.0,1,5,39.283928,14.276951,55.0,26.0,19.60675405791331
1732181317322.0,2,3,251.16335,371.68787,320.0,324.0,83.74137082410343
1732181317381.0,1,5,46.717625,104.8846,55.0,26.0,79.31820372024477
1732181317422.0,2,3,361.8764,246.08786,320.0,324.0,88.45301045523408
1732181317481.0,1,5,42.595383,56.666214,55.0,26.0,33.08007345465885
1732181317522.0,2,3,399.68466,47.799675,320.0,324.0,287.46524246419773
1732181317581.0,1,5,92.019424,1.321167,55.0,26.0,44.491376062618166
1732181317622.0,2,3,275.54474,330.19492,320.0,324.0,44.88482167500362
1732181317681.0,1,5,50.024292,112.75455,55.0,26.0,86.89711948620622
1732181317722.0,2,3,385.59625,121.1076,320.0,324.0,213.23271654755516
1732181317781.0,1,5,63.955376,13.233063,55.0,26.0,15.594660975081645
1732181317822.0,2,3,287.0599,240.57663,320.0,324.0,89.69118296009508
1732181317881.0,1,5,50.121227,43.083004,55.0,26.0,17.766020086855765
1732181317922.0,2,3,301.90826,198.12885,320.0,324.0,127.16469006150056
1732181317981.0,1,5,74.23312,28.076866,55.0,26.0,19.34493319786056
1732181318022.0,2,3,326.90955,90.44725,320.0,324.0,233.6549355486633
1732181318081.0,1,5,40.267956,38.293125,55.0,26.0,19.187340950073697
1732181318122.0,2,3,375.16943,59.11738,320.0,324.0,270.566939499267
1732181318181.0,1,5,68.07995,22.949144,55.0,26.0,13.431037803880153
1732181318222.0,2,3,298.55814,314.55176,320.0,324.0,23.431236142133805
1732181318281.0,1,5,50.30327,56.903828,55.0,26.0,31.25869215051931
1732181318322.0,2,3,380.82455,27.615377,320.0,324.0,302.5614994302811
1732181318381.0,1,5,40.079872,94.29953,55.0,26.0,69.91019979342249
1732181318422.0,2,3,346.2905,279.47202,320.0,324.0,51.710072912586384
1732181318481.0,1,5,95.548035,-1.320488,55.0,26.0,48.893274037374
1732181318522.0,2,3,358.068,54.72099,320.0,324.0,271.95655386017086
1732181318581.0,1,5,46.03669,47.449295,55.0,26.0,23.246789197818533
1732181318622.0,2,3,349.86966,215.80338,320.0,324.0,112.24395776471667
1732181318681.0,1,5,24.905132,62.351738,55.0,26.0,47.19268907726863
1732181318722.0,2,3,349.89713,346.89767,320.0,324.0,37.658220902778986
1732181318781.0,1,5,40.891365,95.01256,55.0,26.0,70.43995392797329
1732181318822.0,2,3,415.41187,39.890396,320.0,324.0,299.70267818706594
1732181318881.0,1,5,64.11965,58.016594,55.0,26.0,33.29009382203191
1732181318922.0,2,3,260.86203,300.4836,320.0,324.0,63.642124951633846
1732181318981.0,1,5,54.42753,23.914097,55.0,26.0,2.163033912325829
1732181319022.0,2,3,309.7906,102.98866,320.0,324.0,221.24701622281825
1732181319081.0,1,5,42.54036,42.631428,55.0,26.0,20.78092986125591
1732181319122.0,2,3,350.69595,64.60845,320.0,324.0,261.20147575674224
1732181319181.0,1,5,77.48355,104.84665,55.0,26.0,81.98965909929586
1732181319222.0,2,3,399.28604,37.34937,320.0,324.0,297.41361666036744
1732181319281.0,1,5,45.308983,46.819534,55.0,26.0,22.964512523657426
1732181319322.0,2,3,344.85333,232.04855,320.0,324.0,95.25102013069204
1732181319381.0,1,5,36.728554,26.594051,55.0,26.0,18.281100593673663
1732181319422.0,2,3,399.04752,41.515427,320.0,324.0,293.3360381030602
1732181319481.0,1,5,32.952812,110.07056,55.0,26.0,86.9133879889557
1732181319522.0,2,3,327.70078,65.76317,320.0,324.0,258.3516105765551
1732181319581.0,1,5,44.36526,62.397903,55.0,26.0,37.91971821225568
1732181319622.0,2,3,308.9226,189.72226,320.0,324.0,134.7338884732605
1732181319681.0,1,5,54.281746,5.0793343,55.0,26.0,20.932992022864216
1732181319722.0,2,3,297.59222,272.89865,320.0,324.0,55.79835390787191
1732181319781.0,1,5,45.522877,115.234985,55.0,26.0,89.73683040128367
1732181319822.0,2,3,359.92102,235.94858,320.0,324.0,96.67854071289554
